id	Name	TestRoom	QuestionAnswerTime	ProbabilityCorrect	HW_1	HW_2	HW_3	HW_4
123456789	Conrade Do	307	1	0.55	93	81	95	77
123456790	Marylee Portis	307	2.5	0.69	85	90	89	87
123456791	Blondie Jago	304	1	0.6	84	83	79	92
123456792	Joelly Gammidge	302	2.5	0.46	99	100	89	89
123456793	Libbi Duffan	303	1.1	0.66	95	95	93	88
123456794	Marcellina Larham	307	1.9	0.66	98	89	90	89
123456795	Vasili Adnet	303	2.2	0.9	84	83	97	82
123456796	Liuka Wortman	306	1.4	0.95	88	84	99	94
123456797	Caren Male	302	1.6	0.54	82	100	94	97
123456798	Tades A'Barrow	301	2.8	0.52	93	82	93	90
123456799	Menard Lazar	305	2.1	0.88	85	86	87	80
123456800	Jacquetta Flooks	305	1.4	0.81	85	98	89	95
